StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q.WhichPwdManager,Q.WhichPwdManager_17_TEXT,Q.WhichPwdManager_18_TEXT,Q.WhyNoPWManager,Q.WhyNoPWManager_2_TEXT,Q.Excluded.Gen,Q.Excluded.Gen_3_TEXT,Q.Duration,Q.LearnMore,QConsent,QConsent_6_TEXT,QConsent_11_TEXT,QConsent_12_TEXT,2.2_Id,2.2_Name,2.2_Size,2.2_Type,Q83_Id,Q83_Name,Q83_Size,Q83_Type,2.3,3.1.1,3.1.2,Q.Generating,Q.Generating_3_TEXT,3.3,4.1,4.2,4.3,4.3.1,4.3.2,4.3.2_5_TEXT,4.3.3,4.3.3_3_TEXT,4.4,4.4.1,4.4.2,4.4.2_5_TEXT,4.4.3,4.4.3_3_TEXT,Q44,Q44_3_TEXT,Q44_7_TEXT,Q45,Q45_9_TEXT,Q45_11_TEXT,Q46,Q47,Q-Nudge-Recall-Weak,Q-Nudge-Recall-Comp,5.2,5.3,5.3_4_TEXT,Q-bug-reports,PROLIFIC_PID,SurveyID,UserAgent,Referer,ResponseID,STUDY_ID,SESSION_ID,RandomNumber
3/15/2021 11:09,3/15/2021 11:09,IP Address,100,36,True,3/15/2021 11:10,R_2dmCttxYzw1fNOZ,anonymous,EN,1,I'm not using a password manager,,,"I am concerned that other people may access the computer, tablet, phone, or other device on which my passwords are saved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e23012e5f39765bc6ffe0b1,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",,R_2dmCttxYzw1fNOZ,604f91775ce522555faac657,604fa2d09400e549801bba41,10305
3/15/2021 11:09,3/15/2021 11:10,IP Address,100,42,True,3/15/2021 11:10,R_p0GtqbOiB0chZkJ,anonymous,EN,0.9,I'm not using a password manager,,,"I am concerned that other people may access the computer, tablet, phone, or other device on which my passwords are saved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e90a8465e4a6d3b52633171,SV_42ZfIwSyVvAnQSW,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,R_p0GtqbOiB0chZkJ,604f91775ce522555faac657,604fa2daaa2e49781b5a5552,2847
3/15/2021 11:10,3/15/2021 11:10,IP Address,100,21,True,3/15/2021 11:10,R_UrKIalahvIf0tGx,anonymous,EN,1,The Password Manager Built into Google's Chrome Browser (Google Password Manager),,,,,Create a password myself and let my password manager save it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fc402649306c50008297d63,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",,R_UrKIalahvIf0tGx,604f91775ce522555faac657,604fa311e0de48eed6791b66,11642
3/15/2021 11:10,3/15/2021 11:11,IP Address,100,27,True,3/15/2021 11:11,R_1oItpl2tJbiE1wL,anonymous,EN,1,Bitwarden (Free Edition),,,,,Create a password myself and let my password manager save it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a6e4ecae6cc4a0001b6d38d,SV_42ZfIwSyVvAnQSW,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,,R_1oItpl2tJbiE1wL,604f91775ce522555faac657,604fa31c90edf6f8e7684558,8250
3/15/2021 11:11,3/15/2021 11:12,IP Address,100,42,True,3/15/2021 11:12,R_2CCdG23UBtulKMb,anonymous,EN,1,The Password Manager Built into Google's Chrome Browser (Google Password Manager),,,,,Create a password myself and let my password manager save it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60045528de83e54c4efe39bf,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",,R_2CCdG23UBtulKMb,604f91775ce522555faac657,604fa34ec9ae0c273adbf607,1831
3/15/2021 11:11,3/15/2021 11:12,IP Address,100,53,True,3/15/2021 11:12,R_22Jqzk8f7AJYTY6,anonymous,EN,1,The Password Manager Built into Google's Chrome Browser (Google Password Manager),,,,,Create a password myself and let my password manager save it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e66de9aa7c1cb467abe171f,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",,R_22Jqzk8f7AJYTY6,604f91775ce522555faac657,604fa33b0212280187352f80,8463
3/15/2021 11:11,3/15/2021 11:12,IP Address,100,47,True,3/15/2021 11:12,R_124IzFY6SFyO5to,anonymous,EN,1,I'm not using a password manager,,,I didn't know I could save my passwords in my browser or with a password manager.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8ed37de0620206fd2bbc5b,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",,R_124IzFY6SFyO5to,604f91775ce522555faac657,604fa352afb5e247c664e712,5089
3/15/2021 11:12,3/15/2021 11:12,IP Address,100,21,True,3/15/2021 11:12,R_1Ei0NNQGimutaOe,anonymous,EN,1,I'm not using a password manager,,,I worry that if malicious software compromises my devices my passwords may be compromised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e9f207f57028a084d73e575,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",,R_1Ei0NNQGimutaOe,604f91775ce522555faac657,604fa378234056faf2ba65dd,12520
3/15/2021 11:12,3/15/2021 11:12,IP Address,100,32,True,3/15/2021 11:12,R_215jtjHokW9wWxT,anonymous,EN,1,The Password Manager Built into Google's Chrome Browser (Google Password Manager),,,,,Create a password myself and let my password manager save it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fce02c3ce77180008fb5476,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.192 Safari/537.36",,R_215jtjHokW9wWxT,604f91775ce522555faac657,604fa3810cd85e41f430d4a7,9297
3/15/2021 11:12,3/15/2021 11:13,IP Address,100,38,True,3/15/2021 11:13,R_3VjK78KixOPJplL,anonymous,EN,1,I'm not using a password manager,,,"I am concerned that other people may access the computer, tablet, phone, or other device on which my passwords are saved.,I worry that if malicious software compromises my devices my passwords may be compromised.,I don't trust the companies that make the browser I use, or third party password managers, with my passwords.,Other (please explain)",I have a good memory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e52894c77e0502a16cb4354,SV_42ZfIwSyVvAnQSW,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",,R_3VjK78KixOPJplL,604f91775ce522555faac657,604fa389910ab5e0a2de00f5,6747
